# ISBN13: 9787507508260
# 标题: 生存手册
# 副标题: 英国皇家特种部队权威教程
# 作者: 约翰·怀斯曼
# 译者: 李斌, 倪明
# 出版年: 1999

# cook
炖煮	用开水炖食物需要一个容器，罐头盒和金属箱都十分理想。做一个手柄将其提起，或者用锅钳钳紧，让其靠近或离开火苗。锅上刺穿的洞孔可以通过楔人木塞修补：这些木塞一遇湿就膨胀，从而阻止水分下漏。如果没有金属容器，一戴粗长的竹子也可盛水烧煮，甚至可用桦树皮做器醋，当然不能让火烧干水分。<br>尽管炖煨食物确实破坏了食物中一些重要的营养成分，但也保留了天然汁液和所有的脂肪——假如喝下所有的汁液，吃完所有固态食物。坚韧多筋的根茎和肉质变老的猎物炖煨后会变软，便于食用，也会杀死蠕虫和肝吸虫.甚至使已经变质的肉可以食用。<br>如果饥肠辘辘，事实上没有腐烂的死动物也可以冒险一试，假如你仅吃肉多的地方，将肉切成2.5厘米大小的方块，然后用烈火煮上至少30分钟，先吃一小点，等半个小时，看看有无不良反应—这段时间以至更短的时间，大部分毒质已经会影响到消化系统，如果没有不良反应，就大胆享用吧。

包土烧烤	将食物包在粘土中、放在火上烧烤是种不需炊事器皿的做饭办法，甚至有炊事器皿时也可使用这种方法。因为，不同的方式有不同的风味。用粘土将食物糊成球状，投入火中，热量穿透粘土，在粘土保护下食物不会烧焦或燃烧。<br>必须先洗净动物，清理内脏，但不需其他手续，去掉粘土后，像猪脊骨或鱼鳞仍然保存，如果是小鸟，粘土会替你拔毛——不过羽毛可以绝缘，且会防止小鸟烧烤过头。用此法烧制菜根会将外皮去掉，这样自然也失去了部分重要的营养物质。

煎烧	如果有脂肪油，且有容器可以煎油，煎烧是变换饮食味道的一种烹调方式。任何金属都顶用，在有些地方有种大型树叶，如香蕉树叶，这种树叶富含油质，一段时间内不会变干，可以用来在上面煎鸡蛋。在冒险将有价值的食物放在上面煎时，要先检验一下。不过要注意，只能在余火上煎，不要在烧得正旺的火上煎。

烧烤	烧肉就是烧烤脂肪，最简便的方法就是将肉块串在一根炙叉上，在未烧尽的余火上翻转，或放在一堆热量足以烧烤食物的烈火附近，不断翻转肉块。烧烤食物的味道相当可口，但有两个缺陷：如果不在炙叉下放一滴盘。大量有价值的脂肪就会丧失。可将盘中油脂均匀涂在烤肉上。另外，用烈火烧烤会使外层熟透，但里层仍未烧透，有害菌仍然得以存活。相比之下，慢烧较好，而且在外层肉割掉后继续烤，内层的鲜肉就会得到烤炙。

炙烤	这是一种烹制大量食物的快捷途径，但要有东西支撑食物，如一张金属网。将其安放在将要烧完的火堆上。这种方式应该只在食物丰富的情况下使用，因为这浪费了绝大部分脂肪。火堆边的滚烫的岩石也能用作炙烤层。也可将食物用木棍串起，悬于火苗上方。

