# ISBN13: 9787522727677
# 标题: 采香者
# 副标题: 世界香水之源
# 作者: 多米尼克·洛克斯
# 译者: 王祎慈
# 出版年: 2024

Exsudat	渗出物<br>从树木创口中流出的一切物质
Baume	香脂<br>有气味的液体渗出物
Gomme|Résine	树胶、树脂<br>树木的渗出物，遇空气后会硬化。树胶溶于水，树脂溶于酒精
Larmes	固化浆液<br>凝固的树胶块或树脂块
Essence|Huile essentielle	精油<br>植物经过水蒸气蒸馏后的产物。精油不溶于水且比水轻，经澄清后与水分离
Concrète	浸膏<br>利用溶剂对植物进行萃取后得到的有气味的软膏
Absolue	净油<br>浸膏中可溶于酒精的部分，可被香水制造商使用
Extrait|Résinoïde	萃取物、类树脂<br>植物经酒精萃取后的产物
Eau florale|Eau de rose	花水、蔷薇水<br>有香气的水，花朵经水蒸馏后的产物
Gemmage	采脂<br>割开树木的树皮以收集树胶或树脂
Enfleurage	脂吸法<br>一种古老的工艺，通过将花瓣铺在一层油脂上来提取花香
Distillation	蒸馏<br>让水蒸气循环通过植物或植物与水的混合物以得到精油
Extraction	萃取<br>让溶剂流过植物以得到浸膏或净油
Alambic	蒸馏器<br>生产花水或精油的装置
Condensat	冷凝液<br>蒸馏冷却后得到的水和精油的混合物
Florentin	分液器<br>用于收集从冷凝水中析出的精油的器皿
Extracteur	萃取器<br>生产浸膏或香脂的装置
